0x001: "Flight Control Computer"
0x002: "Flight Management Computer"
0x003: "Thrust Control Computer "
0x004: "Inertial Reference System"
0x005: "Attitude and Heading Ref. System"
0x006: "Air Data System"
0x007: "Radio Altimeter"
0x008: "Airborne Weather Radar"
0x009: "Airborne DME"
0x00A: "FAC"
0x00B: "Global Positioning System"
0x00D: " AIDS Data Management System"
0x010: "Airborne ILS Receiver"
0x011: "Airborne VOR Receiver "
0x012: "Airborne ADF System"
0x016: "Airborne VHF COM"
0x017: "DEFDARS-AIDS"
0x018: "ATC Transponder"
0x019: "Airborne HF/SSB System"
0x01A: "Electronic Supervisory Control"
0x01B: "Digital Slat/Flap Computer"
0x01D: "A/P & F/D Mode Control Panel "
0x01E: "Performance Data Computer"
0x01F: "Fuel Quantity Totalizer"
0x020: "DFS System"
0x023: "Ground Prox. Warning System"
0x024: "ACARS (724) / CMU Mark 2"
0x025: "Electronic Flt. Instruments"
0x026: "Flight Warning Computer"
0x027: "Microwave Landing System"
0x029: "ADDCS (729) and EICAS"
0x02A: "Thrust Management Computer"
0x02B: "Perf. Nav. Computer System"
0x02C: "Digital Fuel Gauging System"
0x02D: "EPR Indicator (Boeing 757)"
0x02E: "Land Rollout CU/Landing C & LU"
0x02F: "Full Authority EEC-A 069 030 Airborne Separation Assurance System"
0x031: "Chronometer"
0x032: "Pass. Entertainment Tape Reproducer"
0x033: "Propulsion Multiplexer (PMUX)"
0x034: "Fault Isolation & Detection System"
0x035: "TCAS"
0x036: "Radio Management System"
0x037: "Weight and Balance System"
0x038: "ADIRS"
0x039: "MCDU"
0x03A: "Propulsion Discrete Interface Unit"
0x03B: "Autopilot Buffer Unit"
0x03C: "Tire Pressure Monitoring System"
0x03D: "Airborne Vibration Monitor"
0x03E: "Center of Gravity Control Computer"
0x03F: "Full Authority EEC-B"
0x040: "Cockpit Printer"
0x041: "Satellite Data Unit"
0x04A: "Landing Gear Position Interface Unit"
0x04B: "Main Electrical System Controller"
0x04C: "Emergency Electrical System Controller"
